City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
84,Ushuaia,75,AR,1529802000,86,-54.81,-68.31,28.4,5.82
85,Ribeira Grande,92,PT,1529806644,100,38.52,-28.7,70.69,4.97
86,Lompoc,90,US,1529805480,87,34.64,-120.46,73.4,4.7
87,Marsh Harbour,0,BS,1529806491,99,26.54,-77.06,83.11,11.23
88,Jamestown,0,AU,1529805898,48,-33.21,138.6,56.29,6.2
89,Huntingdon,1,GB,1529805360,100,52.33,-0.18,53.6,3.36
90,Sioux Lookout,90,CA,1529802000,93,50.1,-91.92,64.4,6.93
91,Castro,56,CL,1529805888,100,-42.48,-73.76,28.39,2.95
92,Cockburn Town,0,TC,1529806756,99,21.46,-71.14,81.22,21.52
93,Thompson,20,CA,1529802000,23,55.74,-97.86,73.4,9.17
94,Leningradskiy,20,RU,1529805889,92,69.38,178.42,33.7,13.35
95,Storforshei,76,NO,1529806757,100,66.4,14.52,34.24,1.95
96,Caxito,0,BR,1529806757,75,-22.65,-42.51,66.01,6.42
97,Bubaque,20,GW,1529802000,83,11.28,-15.83,80.6,5.82
98,Arkadelphia,20,US,1529805300,62,34.12,-93.05,87.8,3.62
99,Onokhoy,20,RU,1529803800,49,51.92,108.05,68.0,6.71
100,Mosta,20,MT,1529804700,88,35.91,14.42,68.0,4.7
101,Acoua,75,YT,1529803800,74,-12.72,45.06,78.8,16.11
102,Fortuna,0,ES,1529803800,73,38.18,-1.13,71.6,4.7
103,Havre-Saint-Pierre,90,CA,1529802000,76,50.23,-63.6,55.4,4.7
104,Srednekolymsk,12,RU,1529806759,53,67.46,153.71,65.47,5.86
105,Koshurnikovo,0,RU,1529806760,61,54.3,93.39,74.02,3.18
106,Port Elizabeth,90,US,1529805840,100,39.31,-74.98,71.6,6.93
107,Bontang,68,ID,1529806761,98,0.12,117.47,82.39,2.62
108,Touros,88,BR,1529806761,99,-5.2,-35.46,74.29,11.34
109,Bonavista,56,CA,1529806761,64,48.65,-53.11,52.96,21.3
110,Katangli,92,RU,1529806762,100,51.71,143.23,42.52,13.8
111,Kaitangata,0,NZ,1529806762,67,-46.28,169.85,46.57,19.06
112,Daman,92,IN,1529806652,100,20.42,72.83,76.99,13.35
113,College,76,US,1529805480,37,64.86,-147.8,68.0,6.93
114,Dwarka,75,IN,1529803800,38,28.58,77.04,93.2,4.7
115,Kandrian,68,PG,1529806763,82,-6.21,149.55,80.41,6.87
116,Klaksvik,92,FO,1529805000,100,62.23,-6.59,50.0,6.93
117,Mutoko,8,ZW,1529806764,86,-17.4,32.23,43.51,2.62
118,Provideniya,88,RU,1529806764,100,64.42,-173.23,40.72,11.45
119,Gallup,1,US,1529805180,5,35.53,-108.74,89.6,11.41
120,Kamiiso,75,JP,1529802000,82,41.82,140.65,64.4,13.87
121,Hithadhoo,64,MV,1529805873,100,-0.6,73.08,81.67,5.86
122,Douglas,90,US,1529805360,71,58.28,-134.39,59.0,10.29
123,Tsarychanka,0,UA,1529806766,86,48.94,34.49,56.56,14.25
124,Tabou,88,CI,1529806766,100,4.42,-7.36,78.16,7.43
125,Torbay,75,CA,1529802000,47,47.66,-52.73,55.4,33.33
126,Isangel,0,VU,1529806767,100,-19.55,169.27,72.76,12.01
127,Chimbote,76,PE,1529806768,100,-9.08,-78.59,59.62,5.64
128,Gigmoto,68,PH,1529806768,100,13.78,124.39,83.47,3.96
129,Qaqortoq,75,GL,1529805000,80,60.72,-46.03,41.0,2.24
130,Rio Gallegos,90,AR,1529805600,100,-51.62,-69.22,33.8,14.99
131,Whitehorse,40,CA,1529802000,30,60.72,-135.06,69.8,12.75
132,Kodiak,1,US,1529801580,65,39.95,-94.76,80.6,6.93
133,Nishihara,75,JP,1529804700,94,35.74,139.53,69.8,8.05
134,Airai,0,TL,1529806770,43,-8.93,125.41,80.86,2.84
135,Kiama,0,AU,1529802000,44,-34.67,150.86,57.2,10.29
136,Puri,20,ID,1529803800,66,-7.54,112.45,86.0,1.12
137,Avera,1,US,1529805300,83,33.19,-82.53,80.6,3.36
138,Lata,0,IN,1529806771,77,30.78,78.62,67.27,0.94
139,Butaritari,44,KI,1529805871,100,3.07,172.79,84.46,3.51
140,Clyde River,20,CA,1529802000,75,70.47,-68.59,41.0,3.36
141,Camaqua,92,BR,1529806697,100,-30.85,-51.81,52.87,16.37
142,Geraldton,90,CA,1529802000,87,49.72,-86.95,46.4,12.75
143,Trincomalee,32,LK,1529806772,70,8.58,81.23,83.11,16.04
144,Cape Town,75,ZA,1529802000,93,-33.93,18.42,55.4,2.24
145,Karratha,0,AU,1529806772,20,-20.74,116.85,70.78,18.5
146,Chenzhou,32,CN,1529806773,77,25.81,113.03,87.34,10.0
147,Cabo San Lucas,5,MX,1529804640,68,22.89,-109.91,77.0,14.99
148,Pastavy,92,BY,1529806773,100,55.11,26.84,51.97,5.64
149,Chuy,0,UY,1529806634,96,-33.69,-53.46,48.19,16.93
150,Senador Guiomard,0,BR,1529805600,88,-10.15,-67.74,73.4,2.24
151,Upernavik,76,GL,1529805905,100,72.79,-56.15,29.83,4.07
152,Pangnirtung,48,CA,1529806774,95,66.15,-65.72,30.37,1.39
153,Svetlogorsk,0,RU,1529803800,72,53.14,59.15,60.8,8.95
154,Sekondi,100,GH,1529806774,97,4.94,-1.71,75.82,5.19
155,Yulara,0,AU,1529802000,35,-25.24,130.99,57.2,10.29
156,Ochakiv,0,UA,1529803800,87,46.61,31.55,50.0,2.24
157,Kaniama,12,CD,1529806775,67,-7.57,24.18,68.26,0.94
158,Dikson,76,RU,1529806776,98,73.51,80.55,32.26,12.24
159,Leh,80,IN,1529806777,100,34.16,77.58,31.54,1.83
160,Vysokogornyy,92,RU,1529806777,87,50.1,139.13,44.14,4.74
161,Fukue,75,JP,1529803800,83,35.03,136.69,71.6,3.36
162,Midland,0,US,1529804100,19,32.0,-102.08,102.2,6.42
163,Talcahuano,0,CL,1529805600,65,-36.72,-73.12,44.6,11.41
164,Carnarvon,8,ZA,1529805874,72,-30.97,22.13,21.28,3.06
165,Oum Hadjer,64,TD,1529806779,90,13.3,19.7,70.96,6.42
166,Haines Junction,32,CA,1529806779,40,60.75,-137.51,55.66,2.62
167,Dzaoudzi,75,YT,1529803800,74,-12.79,45.27,78.8,16.11
